Time,Weather,Temperature,Feels_Like,Wind_Speed
00:00:09,Fair,12,12,4
00:02:09,Fair,12,12,4
00:04:09,Fair,12,12,4
00:06:09,Fair,12,12,4
00:08:08,Fair,12,12,4
00:10:08,Fair,12,12,4
00:18:09,Partly Cloudy,12,12,8
00:20:09,Partly Cloudy,12,12,8
00:22:09,Partly Cloudy,12,12,8
00:24:09,Partly Cloudy,12,12,8
00:26:09,Partly Cloudy,12,12,8
00:28:09,Fair,12,12,4
00:30:09,Fair,12,12,4
00:32:08,Fair,12,12,4
00:34:09,Partly Cloudy,12,12,8
00:36:08,Partly Cloudy,12,12,8
00:38:09,Partly Cloudy,12,12,8
00:40:09,Partly Cloudy,12,12,8
00:42:08,Partly Cloudy,12,12,8
00:44:09,Partly Cloudy,12,12,8
00:46:08,Partly Cloudy,12,12,8
00:48:09,Partly Cloudy,12,12,8
00:50:09,Partly Cloudy,12,12,8
00:52:08,Partly Cloudy,12,12,8
00:54:08,Partly Cloudy,12,12,8
00:56:09,Partly Cloudy,12,12,8
00:58:09,Partly Cloudy,12,12,8
01:00:17,Partly Cloudy,12,12,8
01:02:09,Partly Cloudy,12,12,8
01:04:09,Partly Cloudy,12,12,8
01:06:08,Partly Cloudy,12,12,8
01:08:09,Partly Cloudy,12,12,8
01:10:09,Partly Cloudy,12,12,8
01:12:09,Partly Cloudy,12,12,8
01:14:08,Partly Cloudy,12,12,8
01:16:09,Partly Cloudy,12,12,8
01:18:09,Partly Cloudy,12,12,8
01:20:09,Partly Cloudy,12,12,8
01:22:09,Partly Cloudy,12,12,8
01:24:08,Partly Cloudy,12,12,8
01:26:09,Mostly Cloudy,12,12,8
01:28:09,Mostly Cloudy,12,12,8
01:30:08,Mostly Cloudy,12,12,8
01:32:09,Mostly Cloudy,12,12,8
01:34:09,Mostly Cloudy,12,12,8
01:36:09,Mostly Cloudy,12,12,8
01:38:08,Mostly Cloudy,12,12,8
01:40:09,Mostly Cloudy,12,12,8
01:42:09,Mostly Cloudy,12,12,8
01:44:09,Mostly Cloudy,12,12,8
01:46:09,Mostly Cloudy,12,12,8
01:48:09,Mostly Cloudy,12,12,8
01:50:09,Mostly Cloudy,12,12,8
01:52:08,Mostly Cloudy,12,12,8
01:54:09,Mostly Cloudy,12,12,8
01:56:09,Mostly Cloudy,12,12,8
01:58:08,Mostly Cloudy,12,12,8
02:00:08,Mostly Cloudy,12,12,8
02:02:09,Mostly Cloudy,12,12,8
02:04:09,Mostly Cloudy,12,12,8
02:06:08,Mostly Cloudy,12,12,8
02:08:09,Mostly Cloudy,12,12,8
02:10:09,Mostly Cloudy,12,12,8
02:12:09,Mostly Cloudy,13,13,3
02:14:08,Mostly Cloudy,13,13,3
02:16:09,Mostly Cloudy,13,13,3
02:18:09,Mostly Cloudy,13,13,3
02:20:09,Mostly Cloudy,13,13,3
02:22:09,Mostly Cloudy,13,13,3
02:24:09,Mostly Cloudy,13,13,3
02:26:08,Mostly Cloudy,13,13,3
02:28:09,Mostly Cloudy,13,13,3
02:30:09,Mostly Cloudy,13,13,3
02:32:08,Mostly Cloudy,13,13,3
02:34:09,Mostly Cloudy,13,13,3
02:36:09,Mostly Cloudy,13,13,3
02:38:08,Mostly Cloudy,13,13,3
02:40:09,Mostly Cloudy,13,13,3
02:42:09,Mostly Cloudy,13,13,3
02:44:08,Mostly Cloudy,13,13,3
02:46:08,Mostly Cloudy,13,13,3
02:48:09,Mostly Cloudy,13,13,3
02:50:09,Mostly Cloudy,13,13,3
02:52:09,Mostly Cloudy,13,13,3
02:54:08,Mostly Cloudy,13,13,3
02:56:09,Mostly Cloudy,13,13,3
02:58:09,Mostly Cloudy,13,13,3
03:00:08,Mostly Cloudy,13,13,3
03:02:09,Mostly Cloudy,13,13,3
03:04:08,Mostly Cloudy,13,13,3
03:06:08,Mostly Cloudy,13,13,3
03:08:09,Mostly Cloudy,13,13,3
03:10:09,Mostly Cloudy,13,13,3
03:12:08,Mostly Cloudy,12,12,4
03:14:09,Mostly Cloudy,12,12,4
03:16:09,Mostly Cloudy,12,12,4
03:18:08,Mostly Cloudy,12,12,4
03:20:09,Mostly Cloudy,12,12,4
03:22:09,Mostly Cloudy,12,12,4
03:24:08,Mostly Cloudy,12,12,4
03:26:09,Mostly Cloudy,12,12,4
03:28:09,Mostly Cloudy,12,12,4
03:30:09,Mostly Cloudy,12,12,4
03:32:09,Mostly Cloudy,12,12,4
03:34:09,Mostly Cloudy,12,12,4
03:36:09,Mostly Cloudy,12,12,4
03:38:09,Mostly Cloudy,12,12,4
03:40:08,Mostly Cloudy,12,12,4
03:42:09,Mostly Cloudy,12,12,4
03:44:08,Mostly Cloudy,12,12,4
03:46:09,Mostly Cloudy,12,12,4
03:48:09,Mostly Cloudy,12,12,4
03:50:08,Mostly Cloudy,12,12,4
03:52:09,Mostly Cloudy,12,12,4
03:54:09,Mostly Cloudy,12,12,4
03:56:08,Mostly Cloudy,12,12,4
03:58:08,Mostly Cloudy,12,12,4
04:00:09,Mostly Cloudy,12,12,4
04:02:08,Mostly Cloudy,12,12,4
04:04:08,Mostly Cloudy,12,12,4
04:06:09,Mostly Cloudy,12,12,4
04:08:09,Mostly Cloudy,12,12,4
04:10:09,Mostly Cloudy,12,12,4
04:12:08,Mostly Cloudy,12,12,4
04:14:08,Mostly Cloudy,12,12,4
04:16:09,Mostly Cloudy,12,12,4
04:18:08,Mostly Cloudy,12,12,4
04:20:09,Mostly Cloudy,12,12,4
04:22:09,Mostly Cloudy,12,12,4
04:24:08,Mostly Cloudy,12,12,4
04:26:09,Mostly Cloudy,12,12,4
04:28:09,Mostly Cloudy,12,12,4
04:30:08,Mostly Cloudy,12,12,4
04:32:09,Mostly Cloudy,12,12,4
04:34:09,Mostly Cloudy,12,12,4
04:36:09,Mostly Cloudy,12,12,4
04:38:08,Mostly Cloudy,12,12,4
04:40:08,Mostly Cloudy,12,12,4
04:42:08,Mostly Cloudy,12,12,4
04:44:09,Mostly Cloudy,12,12,4
04:46:09,Mostly Cloudy,12,12,4
04:48:09,Mostly Cloudy,12,12,4
04:50:08,Mostly Cloudy,12,12,4
04:52:09,Mostly Cloudy,12,12,4
04:54:08,Mostly Cloudy,12,12,4
04:56:08,Mostly Cloudy,12,12,4
04:58:09,Mostly Cloudy,12,12,4
05:00:09,Mostly Cloudy,12,12,4
05:02:09,Mostly Cloudy,12,12,4
05:04:08,Mostly Cloudy,12,12,4
05:06:09,Mostly Cloudy,12,12,4
05:08:09,Mostly Cloudy,12,12,4
05:10:09,Mostly Cloudy,12,12,4
05:12:08,Mostly Cloudy,12,12,4
05:14:09,Mostly Cloudy,12,12,4
05:16:09,Mostly Cloudy,12,12,4
05:18:08,Mostly Cloudy,12,12,4
05:20:09,Mostly Cloudy,12,12,4
05:22:09,Mostly Cloudy,12,12,4
05:24:08,Mostly Cloudy,12,12,4
05:26:08,Mostly Cloudy,12,12,4
05:28:09,Mostly Cloudy,12,12,4
05:30:09,Mostly Cloudy,12,12,4
05:32:09,Mostly Cloudy,12,12,4
05:34:08,Mostly Cloudy,12,12,4
05:36:09,Mostly Cloudy,12,12,4
05:38:09,Mostly Cloudy,12,12,4
05:40:08,Mostly Cloudy,12,12,4
05:42:09,Mostly Cloudy,12,12,4
05:44:09,Mostly Cloudy,12,12,4
05:46:08,Mostly Cloudy,12,12,4
05:48:09,Mostly Cloudy,12,12,4
05:50:09,Mostly Cloudy,12,12,4
05:52:08,Mostly Cloudy,12,12,4
05:54:08,Mostly Cloudy,12,12,4
05:56:09,Mostly Cloudy,12,12,4
05:58:09,Mostly Cloudy,12,12,4
06:00:09,Mostly Cloudy,12,12,4
06:02:08,Mostly Cloudy,12,12,4
06:04:09,Mostly Cloudy,12,12,4
06:06:09,Mostly Cloudy,12,12,4
06:08:08,Mostly Cloudy,12,12,4
06:10:09,Mostly Cloudy,12,12,4
06:12:09,Mostly Cloudy,12,12,8
06:14:08,Mostly Cloudy,12,12,8
06:16:09,Mostly Cloudy,12,12,8
06:18:09,Mostly Cloudy,12,12,8
06:20:09,Mostly Cloudy,12,12,8
06:22:08,Mostly Cloudy,12,12,8
06:24:09,Mostly Cloudy,12,12,8
06:26:09,Mostly Cloudy,12,12,8
06:28:08,Mostly Cloudy,12,12,8
06:30:09,Mostly Cloudy,12,12,8
06:32:09,Mostly Cloudy,12,12,8
06:34:08,Mostly Cloudy,12,12,8
06:36:08,Mostly Cloudy,12,12,8
06:38:09,Mostly Cloudy,12,12,8
06:40:08,Mostly Cloudy,12,12,8
06:42:08,Mostly Cloudy,12,12,8
06:44:09,Mostly Cloudy,12,12,8
06:46:09,Mostly Cloudy,12,12,8
06:48:08,Mostly Cloudy,12,12,8
06:50:09,Mostly Cloudy,12,12,8
06:52:09,Mostly Cloudy,12,12,8
06:54:09,Mostly Cloudy,12,12,8
06:56:08,Mostly Cloudy,12,12,8
06:58:09,Mostly Cloudy,12,12,8
07:00:09,Mostly Cloudy,12,12,8
07:02:09,Mostly Cloudy,12,12,8
07:04:08,Mostly Cloudy,12,12,8
07:06:09,Mostly Cloudy,12,12,8
07:08:09,Mostly Cloudy,12,12,8
07:10:08,Mostly Cloudy,12,12,8
07:12:09,Mostly Cloudy,12,12,8
07:14:09,Mostly Cloudy,12,12,8
07:16:08,Mostly Cloudy,13,13,3
07:18:09,Mostly Cloudy,13,13,3
07:20:09,Mostly Cloudy,13,13,3
07:22:08,Mostly Cloudy,13,13,3
07:24:09,Mostly Cloudy,13,13,3
07:26:09,Mostly Cloudy,13,13,3
07:28:08,Mostly Cloudy,13,13,3
07:30:09,Mostly Cloudy,13,13,3
07:32:09,Mostly Cloudy,13,13,3
07:34:09,Mostly Cloudy,13,13,3
07:36:08,Mostly Cloudy,13,13,3
07:38:09,Mostly Cloudy,13,13,3
07:40:09,Mostly Cloudy,13,13,3
07:42:08,Mostly Cloudy,13,13,3
07:44:09,Mostly Cloudy,13,13,3
07:46:09,Mostly Cloudy,13,13,3
07:48:08,Mostly Cloudy,13,13,3
07:50:09,Mostly Cloudy,13,13,3
07:52:09,Mostly Cloudy,13,13,3
07:54:09,Mostly Cloudy,13,13,3
07:56:08,Mostly Cloudy,13,13,3
07:58:09,Mostly Cloudy,13,13,3
08:00:09,Mostly Cloudy,13,13,3
08:02:08,Mostly Cloudy,13,13,3
08:04:09,Mostly Cloudy,13,13,3
08:06:09,Mostly Cloudy,13,13,3
08:08:09,Mostly Cloudy,13,13,3
08:10:09,Mostly Cloudy,13,13,3
08:12:09,Mostly Cloudy,13,13,3
08:14:09,Mostly Cloudy,15,15,1
08:16:09,Mostly Cloudy,15,15,1
08:18:09,Mostly Cloudy,15,15,1
08:20:09,Mostly Cloudy,15,15,1
08:22:08,Mostly Cloudy,15,15,1
08:24:09,Mostly Cloudy,15,15,1
08:26:09,Mostly Cloudy,15,15,1
08:28:09,Mostly Cloudy,15,15,1
08:30:09,Mostly Cloudy,15,15,1
08:32:09,Mostly Cloudy,15,15,1
08:34:08,Mostly Cloudy,15,15,1
08:36:09,Mostly Cloudy,15,15,1
08:38:09,Mostly Cloudy,15,15,1
08:40:09,Mostly Cloudy,15,15,1
08:42:09,Mostly Cloudy,15,15,8
08:44:08,Mostly Cloudy,15,15,8
08:46:08,Mostly Cloudy,15,15,8
08:48:08,Mostly Cloudy,15,15,8
08:50:09,Mostly Cloudy,15,15,8
08:52:09,Mostly Cloudy,15,15,8
08:54:08,Mostly Cloudy,15,15,8
08:56:08,Mostly Cloudy,15,15,8
08:58:09,Mostly Cloudy,15,15,8
09:00:09,Mostly Cloudy,15,15,8
09:02:09,Mostly Cloudy,15,15,8
09:04:09,Mostly Cloudy,15,15,8
09:06:09,Mostly Cloudy,15,15,8
09:08:08,Mostly Cloudy,15,15,8
09:10:09,Mostly Cloudy,15,15,8
09:12:09,Light Drizzle,13,13,11
09:14:08,Light Drizzle,13,13,11
09:16:08,Light Drizzle,13,13,11
09:18:09,Light Drizzle,13,13,11
09:20:08,Light Drizzle,13,13,11
09:22:09,Light Drizzle,13,13,11
09:24:09,Light Drizzle,13,13,11
09:26:08,Light Drizzle,13,13,11
09:28:09,Light Drizzle,13,13,11
09:30:09,Light Drizzle,13,13,11
09:32:08,Light Drizzle,13,13,11
09:34:09,Light Drizzle,13,13,11
09:36:09,Light Drizzle,13,13,11
09:38:09,Light Drizzle,13,13,11
09:40:08,Light Drizzle,13,13,11
09:48:09,Light Rain,13,13,11
09:50:09,Light Rain,13,13,11
09:52:08,Light Rain,13,13,11
09:54:09,Light Rain,13,13,11
09:56:08,Light Rain,13,13,11
09:58:09,Light Rain,13,13,11
10:00:09,Light Rain,13,13,11
10:02:09,Light Rain,13,13,11
10:10:09,Light Rain,13,13,11
10:12:09,Light Rain,13,13,11
10:14:08,Light Rain,13,13,11
10:16:09,Light Rain,13,13,11
10:18:09,Light Rain,13,13,11
10:20:09,Light Rain,13,13,11
10:22:09,Light Rain,13,13,11
10:24:08,Light Rain,13,13,11
10:26:09,Light Rain,13,13,11
10:28:09,Light Rain,13,13,11
10:30:08,Light Rain,13,13,11
10:32:08,Light Rain,13,13,11
10:34:09,Light Rain,13,13,11
10:36:08,Light Rain,13,13,11
10:38:09,Light Rain,13,13,11
10:40:08,Light Rain,13,13,11
10:42:09,Light Rain,13,13,11
10:44:09,Light Rain,12,12,14
10:46:08,Light Rain,12,12,14
10:48:08,Light Rain,12,12,14
10:50:09,Light Rain,12,12,14
10:52:09,Light Rain,12,12,14
10:54:09,Light Rain,12,12,14
10:56:09,Light Rain,12,12,14
10:58:08,Light Rain,12,12,14
11:00:09,Light Rain,12,12,14
11:02:08,Light Rain,12,12,14
11:04:09,Light Rain,12,12,14
11:06:08,Light Rain,12,12,14
11:08:09,Light Rain,12,12,14
11:10:08,Light Rain,12,12,14
11:12:08,Light Rain,12,12,16
11:14:09,Light Rain,12,12,16
11:16:08,Light Rain,12,12,16
11:18:09,Light Rain,12,12,16
11:20:09,Light Rain,12,12,16
11:22:09,Light Rain,12,12,16
11:24:08,Light Rain,12,12,16
11:26:09,Light Rain,12,12,16
11:28:09,Light Rain,12,12,16
11:30:09,Light Rain,12,12,16
11:32:08,Light Rain,12,12,16
11:34:09,Light Rain,12,12,16
11:36:09,Light Rain,12,12,16
11:38:08,Light Rain,12,12,16
11:40:09,Light Rain,12,12,16
11:42:08,Light Rain,12,12,16
11:44:08,Light Rain,12,12,16
11:46:09,Light Rain,12,12,12
11:48:08,Light Rain,12,12,12
11:50:09,Light Rain,12,12,12
11:52:09,Light Rain,12,12,12
11:54:08,Light Rain,12,12,12
11:56:09,Light Rain,12,12,12
11:58:09,Light Rain,12,12,12
12:00:08,Light Rain,12,12,12
12:02:09,Light Rain,12,12,12
12:04:09,Light Rain,12,12,12
12:06:08,Light Rain,12,12,12
12:08:08,Light Rain,12,12,12
12:10:09,Light Rain,12,12,12
12:12:09,Light Rain,12,12,12
12:14:08,Light Rain,12,12,12
12:16:09,Light Rain,12,12,12
12:18:09,Light Rain,12,12,12
12:20:09,Light Rain,12,12,12
12:22:09,Light Rain,12,12,12
12:24:08,Light Rain,12,12,12
12:26:09,Light Rain,12,12,12
12:28:09,Light Rain,12,12,12
12:30:08,Light Rain,12,12,12
12:32:09,Light Rain,12,12,12
12:34:09,Light Rain,12,12,12
12:36:08,Light Rain,12,12,12
12:38:09,Light Rain,12,12,12
12:40:09,Light Rain,12,12,14
12:42:08,Light Rain,12,12,14
12:44:08,Light Rain,12,12,14
12:46:09,Light Rain,12,12,14
12:48:08,Light Rain,12,12,14
12:50:08,Light Rain,12,12,14
12:58:09,Light Rain,12,12,14
13:00:09,Light Rain,12,12,14
13:02:08,Light Rain,12,12,14
13:04:09,Light Rain,12,12,14
13:06:08,Light Rain,12,12,14
13:08:09,Light Rain,12,12,14
13:10:09,Light Rain,12,12,14
13:12:08,Light Rain,12,12,14
13:14:09,Light Rain,12,12,14
13:16:09,Light Rain,12,12,16
13:18:08,Light Rain,12,12,16
13:20:09,Light Rain,12,12,16
13:22:09,Light Rain,12,12,16
13:24:08,Light Rain,12,12,16
13:26:09,Light Rain,12,12,16
13:28:09,Light Rain,12,12,16
13:30:08,Light Rain,12,12,16
13:32:09,Light Rain,12,12,16
13:34:09,Light Rain,12,12,16
13:36:09,Light Rain,12,12,16
13:38:08,Light Rain,12,12,16
13:40:09,Light Drizzle,12,12,19
13:42:08,Light Drizzle,12,12,19
13:44:08,Light Drizzle,12,12,19
13:46:09,Light Drizzle,12,12,19
13:48:09,Light Drizzle,12,12,19
13:50:08,Light Drizzle,12,12,19
13:52:09,Light Drizzle,12,12,19
13:54:09,Light Drizzle,12,12,19
13:56:08,Light Drizzle,12,12,19
13:58:09,Light Drizzle,12,12,19
14:00:09,Light Drizzle,12,12,19
14:02:08,Light Drizzle,12,12,19
