Time,Weather,Temperature,Feels_Like,Wind_Speed
00:00:08,Mostly Cloudy,15,15,3
00:02:09,Mostly Cloudy,15,15,3
00:04:09,Mostly Cloudy,15,15,3
00:06:09,Mostly Cloudy,15,15,3
00:08:08,Mostly Cloudy,15,15,3
00:10:08,Mostly Cloudy,15,15,3
00:12:09,Mostly Cloudy,15,15,3
00:14:08,Mostly Cloudy,15,15,3
00:16:09,Mostly Cloudy,15,15,3
00:18:08,Mostly Cloudy,15,15,3
00:20:09,Mostly Cloudy,15,15,3
00:22:09,Mostly Cloudy,15,15,3
00:24:09,Mostly Cloudy,15,15,3
00:26:09,Mostly Cloudy,15,15,3
00:28:09,Mostly Cloudy,15,15,3
00:30:09,Mostly Cloudy,15,15,3
00:32:09,Mostly Cloudy,15,15,3
00:34:08,Mostly Cloudy,15,15,3
00:36:08,Mostly Cloudy,15,15,3
00:38:08,Mostly Cloudy,15,15,3
00:40:09,Mostly Cloudy,15,15,3
00:42:09,Mostly Cloudy,15,15,3
00:44:08,Mostly Cloudy,15,15,3
00:46:09,Mostly Cloudy,15,15,3
00:48:09,Mostly Cloudy,15,15,3
00:50:08,Mostly Cloudy,15,15,3
00:52:09,Mostly Cloudy,15,15,3
00:54:09,Mostly Cloudy,15,15,3
00:56:08,Mostly Cloudy,15,15,3
00:58:08,Mostly Cloudy,15,15,3
01:00:16,Mostly Cloudy,15,15,3
01:02:08,Mostly Cloudy,15,15,3
01:04:09,Mostly Cloudy,15,15,3
01:06:09,Mostly Cloudy,15,15,3
01:08:09,Mostly Cloudy,15,15,3
01:10:08,Mostly Cloudy,15,15,3
01:12:09,Mostly Cloudy,13,13,3
01:14:09,Mostly Cloudy,13,13,3
01:16:09,Mostly Cloudy,13,13,3
01:18:09,Mostly Cloudy,13,13,3
01:20:08,Mostly Cloudy,13,13,3
01:22:09,Mostly Cloudy,13,13,3
01:24:09,Mostly Cloudy,13,13,3
01:26:08,Mostly Cloudy,13,13,3
01:28:09,Mostly Cloudy,13,13,3
01:30:09,Mostly Cloudy,13,13,3
01:32:09,Mostly Cloudy,13,13,3
01:34:08,Mostly Cloudy,13,13,3
01:36:09,Mostly Cloudy,13,13,3
01:38:09,Mostly Cloudy,13,13,3
01:40:08,Mostly Cloudy,13,13,3
01:42:09,Mostly Cloudy,13,13,3
01:44:09,Mostly Cloudy,13,13,3
01:46:09,Mostly Cloudy,13,13,3
01:48:09,Mostly Cloudy,13,13,3
01:50:09,Mostly Cloudy,13,13,3
01:52:08,Mostly Cloudy,13,13,3
01:54:09,Mostly Cloudy,13,13,3
01:56:09,Mostly Cloudy,13,13,3
01:58:08,Mostly Cloudy,13,13,3
02:00:09,Mostly Cloudy,13,13,3
02:02:09,Mostly Cloudy,13,13,3
02:04:08,Mostly Cloudy,13,13,3
02:06:09,Mostly Cloudy,13,13,3
02:08:09,Mostly Cloudy,13,13,4
02:10:08,Mostly Cloudy,13,13,4
02:12:09,Mostly Cloudy,13,13,4
02:14:09,Mostly Cloudy,13,13,4
02:16:08,Mostly Cloudy,13,13,4
02:18:09,Mostly Cloudy,13,13,4
02:20:09,Mostly Cloudy,13,13,4
02:22:08,Mostly Cloudy,13,13,4
02:24:09,Mostly Cloudy,13,13,4
02:26:09,Mostly Cloudy,13,13,4
02:28:09,Mostly Cloudy,13,13,4
02:30:09,Mostly Cloudy,13,13,4
02:32:08,Mostly Cloudy,13,13,4
02:34:09,Mostly Cloudy,13,13,4
02:36:09,Mostly Cloudy,13,13,4
02:38:09,Mostly Cloudy,13,13,4
02:40:09,Mostly Cloudy,13,13,4
02:42:09,Mostly Cloudy,13,13,4
02:44:09,Mostly Cloudy,13,13,4
02:46:08,Mostly Cloudy,13,13,4
02:48:08,Mostly Cloudy,13,13,4
02:50:08,Mostly Cloudy,13,13,4
02:52:09,Mostly Cloudy,13,13,4
02:54:09,Mostly Cloudy,13,13,4
02:56:09,Mostly Cloudy,13,13,4
02:58:08,Mostly Cloudy,13,13,4
03:00:09,Mostly Cloudy,13,13,4
03:02:08,Mostly Cloudy,13,13,4
03:04:09,Mostly Cloudy,13,13,4
03:06:09,Mostly Cloudy,13,13,4
03:08:08,Mostly Cloudy,13,13,4
03:10:09,Mostly Cloudy,13,13,4
03:12:09,Mostly Cloudy,13,13,4
03:14:09,Light Rain,13,13,4
03:16:09,Light Rain,13,13,4
03:18:09,Light Rain,13,13,4
03:20:08,Light Rain,13,13,4
03:22:09,Light Rain,13,13,4
03:24:09,Light Rain,13,13,4
03:26:08,Light Rain,13,13,4
03:28:09,Light Rain,13,13,4
03:30:09,Light Rain,13,13,4
03:32:08,Light Rain,13,13,4
03:34:09,Light Rain,13,13,4
03:36:09,Light Rain,13,13,4
03:38:09,Light Rain,13,13,4
03:40:08,Light Rain,13,13,4
03:42:09,Light Rain,13,13,4
03:44:09,Light Rain,13,13,4
03:46:08,Light Rain,13,13,4
03:48:08,Light Rain,13,13,4
03:50:09,Light Rain,13,13,4
03:52:09,Light Rain,13,13,4
03:54:08,Light Rain,13,13,4
03:56:09,Light Rain,13,13,4
03:58:09,Light Rain,13,13,4
04:00:09,Light Rain,13,13,4
04:02:08,Light Rain,13,13,4
04:04:08,Light Rain,13,13,4
04:06:09,Light Rain,13,13,4
04:08:09,Light Rain,13,13,4
04:10:08,Light Rain,13,13,4
04:12:08,Light Rain,13,13,4
04:14:09,Mostly Cloudy,13,13,1
04:16:09,Mostly Cloudy,13,13,1
04:18:09,Mostly Cloudy,13,13,1
04:20:09,Mostly Cloudy,13,13,1
04:22:08,Mostly Cloudy,13,13,1
04:24:09,Mostly Cloudy,13,13,1
04:26:09,Mostly Cloudy,13,13,1
04:28:09,Mostly Cloudy,13,13,1
04:30:09,Mostly Cloudy,13,13,1
04:32:08,Mostly Cloudy,13,13,1
04:34:09,Mostly Cloudy,13,13,1
04:36:09,Mostly Cloudy,13,13,1
04:38:08,Mostly Cloudy,13,13,1
04:40:09,Mostly Cloudy,13,13,1
04:42:09,Mostly Cloudy,13,13,1
04:44:08,Mostly Cloudy,13,13,1
04:46:09,Mostly Cloudy,13,13,1
04:48:09,Mostly Cloudy,13,13,1
04:50:09,Mostly Cloudy,13,13,1
04:52:08,Mostly Cloudy,13,13,1
04:54:09,Mostly Cloudy,13,13,1
04:56:09,Mostly Cloudy,13,13,1
04:58:08,Mostly Cloudy,13,13,1
05:00:09,Mostly Cloudy,13,13,1
05:02:09,Mostly Cloudy,13,13,1
05:04:08,Mostly Cloudy,13,13,1
05:06:09,Mostly Cloudy,13,13,1
05:08:09,Mostly Cloudy,13,13,1
05:10:09,Mostly Cloudy,13,13,1
05:12:09,Mostly Cloudy,13,13,1
