,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:00:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,15,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,5,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:02:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,15,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,5,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:04:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,15,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,5,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:06:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,15,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,5,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:08:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,15,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,5,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:10:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,5,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:12:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,5,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:14:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:16:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:18:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,4,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:20:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:22:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:24:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:26:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:28:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,7,30,12,10,21,18,0
00:30:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,5,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:32:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:34:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:36:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:38:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:40:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:42:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:44:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:46:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,29,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:48:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,30,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:50:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,30,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:52:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,30,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:54:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,30,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:56:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,30,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
00:58:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,30,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
01:00:17,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,30,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
01:02:08,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,30,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
01:04:09,11,2,1,9,21,10,21,17,4,35,20,8,18,28,0,23,28,30,13,13,1,16,7,30,25,2,5,13,30,3,4,6,15,3,9,17,4,22,4,0,3,1,8,0,18,7,0,0,1,19,0,6,36,28,39,31,17,12,36,6,9,18,17,17,6,6,5,17,8,11,38,1,0,8,8,26,15,31,9,14,30,27,5,14,12,6,28,14,39,22,27,5,0,14,8,30,12,10,21,18,0
