,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
22:54:09,2,3,0,30,40,35,29,14,9,29,37,9,25,12,15,8,29,30,1,0,14,0,0,30,30,2,0,5,12,1,1,29,1,4,6,19,10,9,7,5,0,2,0,0,5,39,19,1,0,0,1,0,35,28,4,0,5,5,6,0,0,3,1,7,1,40,2,16,19,37,33,0,14,0,30,9,3,2,7,27,28,14,23,13,40,38,27,29,35,2,0,20,37,40,22,0,25,0,2,0,0
22:56:08,2,2,0,30,40,35,29,14,7,28,37,8,25,12,16,8,29,30,0,0,14,0,0,29,30,2,1,8,12,0,1,29,1,6,6,19,10,9,7,4,0,2,0,2,5,39,19,1,0,0,1,0,35,28,4,0,5,5,6,0,1,3,0,7,2,40,2,16,20,37,33,0,14,0,30,9,3,2,8,27,28,14,23,13,40,38,26,29,35,2,0,20,37,40,22,0,25,0,2,0,0
22:58:09,2,2,0,30,40,35,29,14,7,27,38,7,25,11,16,8,29,30,0,0,14,0,0,29,30,2,1,15,12,0,1,30,1,6,6,20,10,9,7,3,0,3,0,2,6,40,19,1,0,0,1,1,35,28,4,0,5,5,6,0,1,2,1,7,2,40,2,16,22,37,34,1,14,0,30,9,5,2,8,27,28,14,24,14,40,38,27,30,35,2,0,20,37,40,22,0,25,2,2,0,0
23:00:09,2,2,0,30,40,35,29,14,7,27,38,7,25,11,16,8,29,30,0,0,14,0,0,29,30,2,1,15,12,0,1,30,1,6,6,20,10,9,7,3,0,3,0,2,6,40,19,1,0,0,1,1,35,28,4,0,5,5,6,0,1,2,1,7,2,40,2,16,22,37,34,1,14,0,30,9,5,2,8,27,28,14,24,14,40,38,27,30,35,2,0,20,37,40,22,0,25,2,2,0,0
23:02:08,2,2,0,30,40,35,29,14,7,27,38,7,25,11,16,8,29,29,2,0,14,0,0,29,30,1,1,15,12,0,1,30,1,6,6,20,10,9,7,3,0,3,0,2,6,40,18,1,0,0,1,1,35,28,3,0,5,6,6,0,1,2,1,7,2,40,2,16,22,37,35,1,14,0,30,9,5,2,8,28,28,15,24,14,40,38,28,30,35,1,0,20,38,40,22,0,25,2,2,0,0
23:04:08,2,2,0,30,40,35,29,14,8,27,38,7,25,11,16,8,29,29,2,0,14,0,0,29,30,1,2,15,12,0,1,30,1,6,7,20,10,9,7,3,0,3,0,2,6,39,18,1,0,0,1,0,35,28,3,0,5,6,7,1,1,2,1,7,1,40,2,16,22,37,35,1,14,0,30,9,5,2,8,28,28,16,24,14,40,38,28,30,35,1,0,21,40,40,22,0,25,2,2,0,0
23:06:09,2,2,0,30,40,35,29,14,8,27,38,7,25,11,16,8,29,29,2,0,14,0,0,29,30,1,2,15,12,0,1,30,1,6,7,20,10,9,7,3,0,3,0,2,6,39,18,1,0,0,1,0,35,28,3,0,5,6,7,1,1,2,1,7,1,40,2,16,22,37,35,1,14,0,30,9,5,2,8,28,28,16,24,14,40,38,28,30,35,1,0,21,40,40,22,0,25,2,2,0,0
23:08:08,2,0,0,30,40,35,29,14,8,27,38,7,25,10,16,8,29,28,2,0,14,0,0,29,30,1,2,13,12,0,1,30,1,7,7,20,10,9,7,3,0,3,0,2,6,39,18,1,0,0,1,0,35,28,3,0,5,6,7,1,1,1,1,7,0,40,2,16,23,37,36,1,12,0,30,9,5,4,8,28,28,16,24,14,40,38,28,31,35,1,0,21,40,40,22,0,25,2,2,0,0
23:10:09,2,0,0,30,40,35,29,15,8,27,38,7,25,10,16,8,28,28,2,0,14,0,0,29,28,1,2,13,11,0,1,30,1,7,7,20,10,9,7,3,0,3,1,2,5,39,18,1,0,1,1,0,35,28,3,0,5,6,7,1,1,2,1,7,0,40,2,16,23,37,36,1,12,0,30,9,5,8,8,28,29,16,24,14,40,38,28,31,35,1,0,22,40,40,22,0,26,2,2,0,0
23:12:09,2,0,0,30,40,35,29,15,8,27,38,7,25,10,16,8,28,28,2,0,14,0,0,29,28,1,2,13,11,0,1,30,1,7,7,20,10,9,7,3,0,3,1,2,5,39,18,1,0,1,1,0,35,28,3,0,5,6,7,1,1,2,1,7,0,40,2,16,23,37,36,1,12,0,30,9,5,8,8,28,29,16,24,14,40,38,28,31,35,1,0,22,40,40,22,0,26,2,2,0,0
