,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:00:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,3,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,24,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:02:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,3,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,24,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:04:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,3,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,24,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:06:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,3,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:08:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,4,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:10:08,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,4,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:12:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,4,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:14:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:16:08,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:18:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:20:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:22:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:24:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:26:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:28:08,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:30:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:32:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:34:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:36:08,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,7,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,2,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:38:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:40:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,6,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:42:08,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:44:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:46:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:48:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:50:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:52:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,13
00:54:08,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,14
00:56:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,14
00:58:09,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,14
01:00:17,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,14
01:02:08,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,14
01:04:08,2,3,0,30,28,28,30,8,8,10,36,7,23,5,3,0,29,21,5,0,5,8,8,30,30,1,1,22,10,6,8,30,11,7,20,20,19,6,17,1,3,1,12,20,40,25,12,0,5,11,0,40,29,25,0,9,3,5,19,14,14,7,7,2,18,0,30,24,24,30,0,15,3,27,4,4,6,20,18,30,20,15,14,35,36,20,26,40,1,7,27,19,38,9,15,11,1,0,3,14
