Time,Weather,Temperature,Feels_Like,Wind_Speed
00:00:09,Mostly Cloudy,13,13,16
00:02:09,Mostly Cloudy,13,13,16
00:04:09,Mostly Cloudy,13,13,16
00:06:09,Mostly Cloudy,13,13,16
00:08:08,Mostly Cloudy,13,13,16
00:10:09,Mostly Cloudy,13,13,16
00:12:09,Mostly Cloudy,13,13,16
00:14:08,Mostly Cloudy,13,13,19
00:16:09,Mostly Cloudy,13,13,19
00:18:09,Mostly Cloudy,13,13,19
00:20:08,Mostly Cloudy,13,13,19
00:22:09,Mostly Cloudy,13,13,19
00:24:09,Mostly Cloudy,13,13,19
00:26:09,Mostly Cloudy,13,13,19
00:28:08,Mostly Cloudy,13,13,19
00:30:09,Mostly Cloudy,13,13,19
00:32:09,Mostly Cloudy,13,13,19
00:34:09,Mostly Cloudy,13,13,19
00:36:09,Mostly Cloudy,13,13,19
00:38:09,Mostly Cloudy,13,13,19
00:40:08,Mostly Cloudy,13,13,19
00:42:09,Mostly Cloudy,13,13,19
00:44:09,Mostly Cloudy,13,13,19
00:46:08,Mostly Cloudy,13,13,19
00:48:09,Mostly Cloudy,13,13,19
00:50:09,Mostly Cloudy,13,13,19
00:52:09,Mostly Cloudy,13,13,19
00:54:09,Mostly Cloudy,13,13,19
00:56:09,Mostly Cloudy,13,13,19
00:58:08,Mostly Cloudy,13,13,19
01:00:16,Mostly Cloudy,13,13,19
01:02:08,Mostly Cloudy,13,13,19
01:04:09,Mostly Cloudy,13,13,19
01:06:09,Mostly Cloudy,13,13,19
01:08:08,Mostly Cloudy,13,13,19
01:10:09,Mostly Cloudy,13,13,19
01:12:09,Mostly Cloudy,13,13,19
01:14:08,Mostly Cloudy,13,13,19
01:16:09,Light Drizzle,12,12,14
01:18:08,Light Drizzle,12,12,14
01:20:09,Light Drizzle,12,12,14
01:22:09,Light Drizzle,12,12,14
01:24:08,Light Drizzle,12,12,14
01:26:09,Light Drizzle,12,12,14
01:28:09,Light Drizzle,12,12,14
01:30:09,Light Drizzle,12,12,14
01:32:08,Light Drizzle,12,12,14
01:34:08,Light Drizzle,12,12,14
01:36:09,Light Drizzle,12,12,14
01:38:08,Light Drizzle,12,12,14
01:40:08,Light Drizzle,12,12,14
01:42:09,Light Drizzle,12,12,14
01:44:09,Light Drizzle,12,12,14
01:46:08,Light Drizzle,12,12,14
01:48:09,Light Drizzle,12,12,14
01:50:09,Light Drizzle,12,12,14
01:52:09,Light Drizzle,12,12,14
01:54:08,Light Drizzle,12,12,14
01:56:09,Light Drizzle,12,12,14
01:58:09,Light Drizzle,12,12,14
02:00:09,Light Drizzle,12,12,14
02:02:08,Light Drizzle,12,12,14
02:04:09,Light Drizzle,12,12,14
02:06:09,Light Drizzle,12,12,14
02:08:09,Light Drizzle,12,12,14
02:10:09,Mostly Cloudy,12,12,12
02:12:08,Mostly Cloudy,12,12,12
02:14:09,Mostly Cloudy,12,12,12
02:16:09,Mostly Cloudy,12,12,12
02:18:09,Mostly Cloudy,12,12,12
02:20:09,Mostly Cloudy,12,12,12
02:22:09,Mostly Cloudy,12,12,12
02:24:08,Mostly Cloudy,12,12,12
02:26:09,Mostly Cloudy,12,12,12
02:28:09,Mostly Cloudy,12,12,12
02:30:09,Mostly Cloudy,12,12,12
02:32:09,Mostly Cloudy,12,12,12
02:34:09,Mostly Cloudy,12,12,12
02:36:08,Mostly Cloudy,12,12,12
02:38:09,Mostly Cloudy,12,12,12
02:40:09,Mostly Cloudy,12,12,12
02:42:09,Mostly Cloudy,12,12,12
02:44:08,Mostly Cloudy,12,12,12
02:46:09,Mostly Cloudy,12,12,12
02:48:09,Mostly Cloudy,12,12,12
02:50:08,Mostly Cloudy,12,12,12
02:52:09,Mostly Cloudy,12,12,12
02:54:09,Mostly Cloudy,12,12,12
02:56:09,Mostly Cloudy,12,12,12
02:58:08,Mostly Cloudy,12,12,12
03:00:08,Mostly Cloudy,12,12,12
03:02:09,Mostly Cloudy,12,12,12
03:04:09,Mostly Cloudy,12,12,12
03:06:08,Mostly Cloudy,12,12,12
03:08:09,Mostly Cloudy,12,12,12
03:10:09,Mostly Cloudy,12,12,14
03:12:08,Mostly Cloudy,12,12,14
03:14:08,Mostly Cloudy,12,12,14
03:16:09,Mostly Cloudy,12,12,14
03:18:08,Mostly Cloudy,12,12,14
03:20:09,Mostly Cloudy,12,12,14
03:22:09,Mostly Cloudy,12,12,14
03:24:09,Mostly Cloudy,12,12,14
03:26:09,Mostly Cloudy,12,12,14
03:28:09,Mostly Cloudy,12,12,14
03:30:09,Mostly Cloudy,12,12,14
03:32:09,Mostly Cloudy,12,12,14
03:34:09,Mostly Cloudy,12,12,14
03:36:08,Mostly Cloudy,12,12,14
03:38:09,Mostly Cloudy,12,12,14
03:40:08,Mostly Cloudy,12,12,14
03:42:09,Mostly Cloudy,12,12,14
03:44:09,Mostly Cloudy,12,12,14
03:46:08,Mostly Cloudy,12,12,14
03:48:09,Mostly Cloudy,12,12,14
03:50:08,Mostly Cloudy,12,12,14
03:52:08,Mostly Cloudy,12,12,14
03:54:09,Mostly Cloudy,12,12,14
03:56:09,Mostly Cloudy,12,12,14
03:58:08,Mostly Cloudy,12,12,14
04:00:09,Mostly Cloudy,12,12,14
04:02:09,Mostly Cloudy,12,12,14
04:04:08,Mostly Cloudy,12,12,14
04:06:09,Mostly Cloudy,12,12,14
04:08:08,Mostly Cloudy,12,12,14
04:10:09,Mostly Cloudy,12,12,14
04:12:09,Mostly Cloudy,12,12,14
04:14:08,Mostly Cloudy,12,12,14
04:16:09,Mostly Cloudy,12,12,14
04:18:09,Mostly Cloudy,12,12,14
04:20:08,Mostly Cloudy,12,12,14
04:22:09,Mostly Cloudy,12,12,14
04:24:08,Mostly Cloudy,12,12,14
04:26:09,Mostly Cloudy,12,12,14
04:28:09,Mostly Cloudy,12,12,14
