,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:00:09,13,11,4,16,27,15,25,10,20,35,24,5,3,28,13,5,30,30,10,3,9,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:02:09,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,9,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:04:09,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,9,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:06:09,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,9,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:08:09,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,9,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:10:09,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:12:09,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:14:08,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:16:08,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:18:09,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,12,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,19,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:20:09,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,13,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,20,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:22:08,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,13,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,20,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:24:08,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,13,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,20,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:26:09,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,13,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,20,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
00:28:08,13,11,4,16,27,15,25,10,20,35,25,5,3,28,13,5,30,30,10,3,10,9,0,29,30,0,0,0,22,1,2,17,7,3,20,13,1,12,22,2,13,9,10,36,10,21,9,0,16,7,1,19,24,7,10,7,10,23,0,1,34,11,17,0,26,2,6,26,38,20,15,8,6,23,34,0,18,12,29,28,17,5,6,12,12,27,15,1,5,12,30,0,21,15,13,11,8,13,1,0
