,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:08,2,2,0,30,40,35,27,13,21,26,38,10,20,28,13,4,26,27,3,0,4,0,0,30,30,3,5,9,25,2,4,30,0,9,0,20,16,11,0,1,0,11,1,2,1,28,27,7,5,14,0,1,34,28,1,2,3,2,4,0,2,17,27,9,1,40,1,10,40,38,34,3,0,3,14,11,0,8,12,18,30,13,18,12,40,28,30,40,17,2,0,25,26,40,22,4,19,2,7,0,0
00:02:09,2,2,0,30,40,35,27,13,21,26,38,10,20,28,13,4,26,27,3,0,4,0,0,30,30,3,5,8,25,2,4,30,0,9,0,19,17,11,0,1,0,11,1,2,1,29,27,7,5,13,0,1,34,28,1,2,3,2,5,0,2,17,27,9,1,40,1,10,40,38,34,3,0,3,14,12,0,8,11,18,30,13,18,12,40,28,30,40,17,2,0,25,27,40,22,4,19,2,7,0,0
00:04:09,2,2,0,30,40,35,27,13,21,26,38,10,20,29,13,4,26,27,3,0,4,0,0,30,30,3,4,8,26,2,4,30,0,10,0,19,17,10,0,1,0,12,1,2,2,29,27,7,5,13,0,1,34,28,1,2,3,0,5,0,2,17,26,9,1,40,1,10,40,38,34,3,0,3,14,12,0,8,11,18,30,13,18,12,40,28,30,40,17,2,0,25,27,40,22,4,19,2,7,0,0
00:06:08,2,2,0,30,40,35,27,13,21,26,38,10,20,29,13,4,26,27,3,0,4,0,0,30,30,3,4,8,26,2,4,30,0,10,0,19,17,10,0,1,0,12,1,2,2,29,27,7,5,13,0,1,34,28,1,2,3,0,5,0,2,17,26,9,1,40,1,10,40,38,34,3,0,3,14,12,0,8,11,18,30,13,18,12,40,28,30,40,17,2,0,25,27,40,22,4,19,2,7,0,0
00:08:09,2,2,0,30,40,35,27,13,21,25,38,11,21,29,13,3,26,27,3,0,3,0,0,30,30,3,4,9,26,1,4,30,0,10,0,19,17,10,0,1,0,12,1,2,2,29,27,7,5,13,0,1,34,28,1,2,3,0,5,0,2,17,26,9,1,40,1,10,40,38,34,3,0,3,14,12,0,8,11,18,30,13,18,12,40,28,30,40,17,2,0,25,27,40,22,4,19,1,7,0,0
00:10:09,2,2,0,30,40,35,27,13,21,25,38,11,21,28,13,3,26,27,3,0,3,0,0,30,30,3,4,9,27,1,4,30,0,10,1,19,17,10,0,1,0,12,1,2,2,29,26,7,4,13,0,1,34,29,1,2,3,0,5,0,2,18,26,9,1,40,1,10,40,38,34,3,0,3,14,12,0,8,11,18,30,13,18,12,40,28,30,40,17,2,0,25,27,40,22,4,19,1,7,0,0
00:12:09,2,2,0,30,40,35,27,13,21,25,38,11,21,28,13,3,26,27,3,0,3,0,0,30,30,3,4,9,27,1,4,30,0,10,1,19,17,10,0,1,0,12,1,2,2,29,26,7,4,13,0,1,34,29,1,2,3,0,5,0,2,18,26,9,1,40,1,10,40,38,34,3,0,3,14,12,0,8,11,18,30,13,18,12,40,28,30,40,17,2,0,25,27,40,22,4,19,1,7,0,0
00:14:08,2,2,0,30,40,35,27,13,22,25,38,11,21,28,13,3,26,27,3,0,3,0,0,30,30,3,4,9,27,1,4,30,0,11,1,19,17,10,0,1,0,13,1,2,2,29,26,7,4,13,0,1,34,29,1,2,3,0,5,0,2,18,26,9,0,40,1,10,40,38,34,3,0,3,14,12,0,8,11,18,30,13,18,12,40,28,30,40,17,2,0,25,28,40,22,4,18,1,7,0,0
00:16:09,2,2,0,30,40,35,27,13,22,25,38,9,21,28,13,2,26,27,3,0,3,0,0,30,30,3,4,9,27,1,4,30,0,11,1,19,17,10,0,0,0,13,1,2,2,29,26,7,4,13,0,1,34,29,1,2,3,0,5,0,2,18,25,9,0,40,1,10,40,38,34,3,0,2,14,12,0,8,11,18,30,13,18,12,40,28,30,40,17,2,0,25,28,40,22,4,18,1,7,0,0
00:18:08,2,2,0,30,40,35,27,13,22,25,38,9,21,28,13,2,26,27,3,0,3,0,0,30,30,3,4,9,27,1,4,30,0,11,1,19,17,10,0,0,0,13,1,2,2,29,26,7,4,13,0,1,34,29,1,2,3,0,5,0,2,18,25,9,0,40,1,10,40,38,34,3,0,2,14,12,0,8,11,18,30,13,18,12,40,28,30,40,17,2,0,25,28,40,22,4,18,1,7,0,0
