,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:00:09,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,1,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
00:02:09,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,1,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
00:04:09,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,1,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
00:06:08,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,1,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
00:08:09,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,1,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
00:10:09,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,1,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
00:12:09,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,1,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
00:14:08,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,2,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
00:16:09,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,2,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
00:18:08,1,0,0,29,27,24,26,18,10,19,37,16,24,23,14,1,28,30,9,1,10,0,0,16,28,4,1,24,0,8,3,30,1,1,1,20,20,28,0,22,0,4,8,13,22,35,25,10,6,16,20,7,40,12,10,0,13,4,0,12,6,16,2,5,0,16,5,20,30,36,30,11,14,3,26,15,0,7,11,12,29,0,13,5,34,38,24,22,40,4,4,24,14,39,15,5,1,8,0,9,0
