,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:08,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,20,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,4,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
00:02:09,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,20,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,4,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
00:04:09,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,21,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,4,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
00:06:09,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,21,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,4,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
00:08:08,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,21,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,4,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
00:10:09,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,21,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,5,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
00:12:09,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,21,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,5,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
00:14:09,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,21,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,5,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
00:16:09,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,21,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,5,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
00:18:08,16,8,3,30,27,18,17,8,30,23,36,5,25,11,0,10,27,18,24,12,6,4,0,23,26,9,7,27,20,2,2,18,2,6,7,15,19,31,9,19,1,8,3,30,24,21,3,11,20,3,11,4,32,27,5,1,26,2,8,13,0,38,6,3,6,23,1,4,25,6,15,1,17,3,16,15,2,1,5,23,24,28,12,13,17,31,30,14,29,7,0,28,28,40,18,6,3,6,8,1,8
