,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:08,15,0,6,8,27,6,28,17,16,11,1,23,1,23,6,0,30,26,8,17,12,23,4,11,10,11,0,26,15,8,18,27,8,18,10,14,7,32,1,12,2,1,17,24,18,40,19,12,0,2,4,14,22,30,26,13,8,15,27,14,21,10,37,6,19,13,17,3,15,14,16,4,11,28,8,18,25,17,10,17,22,7,1,4,5,8,16,12,22,40,24,30,19,26,11,3,23,4,6,1,17
00:02:09,15,0,6,8,28,6,28,17,16,10,2,23,1,23,6,0,30,26,8,17,12,23,4,11,10,11,0,25,15,8,19,27,8,18,10,13,7,32,1,12,2,1,17,24,18,40,16,12,0,2,4,14,22,30,26,13,8,15,27,14,21,10,37,6,18,12,17,3,15,14,16,4,10,28,8,18,25,17,10,17,22,7,1,4,5,8,16,12,22,40,24,30,19,26,12,3,23,4,6,1,17
00:04:09,15,0,6,8,28,6,28,17,16,10,2,23,1,23,6,0,30,26,8,17,12,23,4,11,10,11,0,25,15,8,19,27,8,18,10,13,7,32,1,12,2,1,17,24,18,40,16,12,0,2,4,14,22,30,26,13,8,15,27,14,21,10,37,6,18,12,17,3,15,14,16,4,10,28,8,18,25,17,10,17,22,7,1,4,5,8,16,12,22,40,24,30,19,26,12,3,23,4,6,1,17
00:06:09,15,0,6,8,28,6,28,17,16,10,2,23,1,23,6,0,30,26,8,17,12,23,4,11,10,11,0,24,15,7,19,27,8,18,10,13,7,32,1,12,2,1,17,24,18,40,15,12,0,2,4,14,22,30,26,13,8,15,27,14,21,10,37,6,18,13,17,3,16,14,16,4,10,28,8,18,25,17,10,17,22,7,1,4,5,8,16,12,22,40,24,30,19,26,12,3,23,4,7,1,16
00:08:08,15,0,6,8,28,6,28,17,16,10,2,23,1,23,6,0,30,26,8,17,12,23,4,11,10,11,0,24,15,7,19,27,8,18,10,13,7,32,1,12,2,1,17,24,18,40,15,12,0,2,4,14,22,30,26,13,8,15,27,14,21,10,37,6,18,13,17,3,16,14,16,4,10,28,8,18,25,17,10,17,22,7,1,4,5,8,16,12,22,40,24,30,19,26,12,3,23,4,7,1,16
00:10:08,15,0,6,8,29,6,28,18,16,11,2,23,1,23,6,0,30,26,8,17,14,23,4,11,10,11,0,24,16,6,19,27,8,18,10,13,6,32,1,12,2,1,17,24,18,40,15,12,0,2,4,14,22,30,26,13,8,15,27,14,21,11,37,6,18,13,17,3,16,14,16,4,10,28,8,18,25,17,10,18,22,7,1,4,6,8,16,12,22,40,24,30,19,26,12,3,23,4,7,1,16
00:12:09,15,0,6,8,29,6,28,18,16,11,2,23,1,24,6,0,30,26,8,17,14,23,4,11,10,11,0,24,16,6,19,28,8,18,10,14,7,32,1,12,2,2,17,24,18,40,15,12,0,1,4,14,22,30,26,13,8,15,29,14,21,11,37,6,17,13,17,3,16,14,16,4,9,28,8,18,25,18,10,18,22,7,1,4,6,8,16,12,22,40,23,30,18,26,12,3,23,4,7,1,16
00:14:09,15,0,6,8,29,6,28,18,16,11,2,23,1,24,6,0,30,26,8,17,14,23,4,11,10,11,0,24,16,6,19,28,8,18,10,14,7,32,1,12,2,2,17,24,18,40,15,12,0,1,4,14,22,30,26,13,8,15,29,14,21,11,37,6,17,13,17,3,16,14,16,4,9,28,8,18,25,18,10,18,22,7,1,4,6,8,16,12,22,40,23,30,18,26,12,3,23,4,7,1,16
00:16:08,15,0,6,8,29,6,28,18,16,11,2,23,1,24,6,0,30,26,8,17,14,23,4,11,10,11,0,24,16,6,19,28,8,18,10,14,7,31,1,12,2,2,17,24,18,40,14,12,0,1,4,14,22,30,26,13,8,15,29,14,21,11,37,6,17,13,17,3,16,14,16,4,9,28,8,18,25,18,10,18,22,7,1,4,7,8,16,12,22,40,23,30,18,26,12,3,23,4,6,1,16
00:18:09,15,0,6,9,29,6,28,18,16,11,2,23,1,24,6,0,30,26,8,17,13,23,4,11,10,11,0,24,16,6,19,28,8,18,10,14,7,31,1,12,2,2,17,25,20,40,14,12,0,1,4,14,22,30,26,13,8,15,29,14,21,11,37,6,17,13,17,3,16,14,16,4,9,28,8,18,25,18,10,18,22,7,1,4,7,8,16,12,22,40,23,30,18,26,12,3,23,4,6,1,16
