,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE,CLARENDON_ROW
00:00:08,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,3,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,5,18,3
00:02:09,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,3,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:04:08,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,3,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:06:09,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,3,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:08:09,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,3,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:10:08,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,3,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:12:09,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,3,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:14:09,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,3,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:16:08,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,4,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:18:09,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,4,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:20:08,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,4,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:22:09,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,4,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:24:09,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,4,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:26:08,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,4,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:28:08,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,4,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
00:30:09,33,3,17,8,10,18,30,18,26,34,1,4,0,30,0,20,30,30,9,0,11,27,0,18,30,4,15,0,39,4,4,11,5,18,7,3,24,19,2,7,3,24,0,21,4,0,1,5,19,0,6,37,29,27,33,5,12,25,12,17,21,33,9,26,13,1,14,15,4,12,1,2,19,16,15,27,36,5,22,12,12,9,13,10,5,26,15,27,15,27,26,0,2,9,30,8,11,6,18,3
