Time,Weather,Temperature,Feels_Like,Wind_Speed
00:00:09,Mostly Cloudy,12,12,4
00:02:08,Mostly Cloudy,12,12,4
00:04:09,Mostly Cloudy,12,12,4
00:06:09,Mostly Cloudy,12,12,4
00:08:09,Mostly Cloudy,12,12,4
00:10:08,Mostly Cloudy,12,12,4
00:12:09,Mostly Cloudy,12,12,8
00:14:09,Mostly Cloudy,12,12,8
00:16:09,Mostly Cloudy,12,12,8
00:18:08,Mostly Cloudy,12,12,8
00:20:09,Mostly Cloudy,12,12,8
00:22:08,Mostly Cloudy,12,12,8
00:24:08,Mostly Cloudy,12,12,8
00:26:09,Mostly Cloudy,12,12,8
00:28:08,Mostly Cloudy,12,12,8
00:30:09,Mostly Cloudy,12,12,8
00:32:09,Mostly Cloudy,12,12,8
00:34:08,Mostly Cloudy,12,12,8
00:36:09,Mostly Cloudy,12,12,8
00:38:09,Mostly Cloudy,12,12,8
00:40:09,Mostly Cloudy,12,12,8
00:42:08,Mostly Cloudy,12,12,8
00:44:09,Mostly Cloudy,12,12,8
00:46:09,Mostly Cloudy,12,12,8
00:48:09,Mostly Cloudy,12,12,8
00:50:08,Mostly Cloudy,12,12,8
00:52:09,Mostly Cloudy,12,12,8
00:54:09,Mostly Cloudy,12,12,8
00:56:09,Mostly Cloudy,12,12,8
00:58:09,Mostly Cloudy,12,12,8
01:00:17,Mostly Cloudy,12,12,8
01:02:08,Mostly Cloudy,12,12,8
01:04:09,Mostly Cloudy,12,12,8
01:06:09,Mostly Cloudy,12,12,8
01:08:08,Mostly Cloudy,12,12,8
01:10:09,Mostly Cloudy,12,12,8
01:12:09,Mostly Cloudy,11,11,9
01:14:09,Mostly Cloudy,11,11,9
01:16:09,Mostly Cloudy,11,11,9
01:18:09,Mostly Cloudy,11,11,9
01:20:08,Mostly Cloudy,11,11,9
01:22:09,Mostly Cloudy,11,11,9
01:24:09,Mostly Cloudy,11,11,9
01:26:09,Mostly Cloudy,11,11,9
01:28:08,Mostly Cloudy,11,11,9
01:30:09,Mostly Cloudy,11,11,9
01:32:09,Mostly Cloudy,11,11,9
01:34:08,Mostly Cloudy,11,11,9
01:36:09,Mostly Cloudy,11,11,9
01:38:09,Mostly Cloudy,11,11,9
01:40:08,Mostly Cloudy,11,11,9
01:42:08,Mostly Cloudy,11,11,9
01:44:09,Mostly Cloudy,11,11,9
01:46:09,Mostly Cloudy,11,11,9
01:48:08,Mostly Cloudy,11,11,9
01:50:09,Mostly Cloudy,11,11,9
01:52:09,Mostly Cloudy,11,11,9
01:54:08,Mostly Cloudy,11,11,9
01:56:09,Mostly Cloudy,11,11,9
01:58:09,Mostly Cloudy,11,11,9
02:00:09,Mostly Cloudy,11,11,9
02:02:08,Mostly Cloudy,11,11,9
02:04:09,Mostly Cloudy,11,11,9
02:06:09,Mostly Cloudy,11,11,9
02:08:08,Mostly Cloudy,11,11,9
02:10:09,Mostly Cloudy,11,11,9
02:12:09,Mostly Cloudy,11,11,9
02:14:09,Mostly Cloudy,11,11,9
02:16:09,Mostly Cloudy,11,11,9
02:18:09,Mostly Cloudy,11,11,9
02:20:09,Mostly Cloudy,11,11,9
02:22:08,Mostly Cloudy,11,11,9
02:24:09,Mostly Cloudy,11,11,9
02:26:09,Mostly Cloudy,11,11,9
02:28:08,Mostly Cloudy,11,11,9
02:30:09,Mostly Cloudy,11,11,9
02:32:09,Mostly Cloudy,11,11,9
02:34:08,Mostly Cloudy,11,11,9
02:36:09,Mostly Cloudy,11,11,9
02:38:09,Mostly Cloudy,11,11,9
02:40:09,Mostly Cloudy,11,11,9
02:42:09,Mostly Cloudy,11,11,9
02:44:09,Mostly Cloudy,11,11,9
02:46:09,Mostly Cloudy,11,11,9
02:48:09,Mostly Cloudy,11,11,9
02:50:09,Mostly Cloudy,11,11,9
02:52:09,Mostly Cloudy,11,11,9
02:54:09,Mostly Cloudy,11,11,9
02:56:09,Mostly Cloudy,11,11,9
02:58:09,Mostly Cloudy,11,11,9
03:00:09,Mostly Cloudy,11,11,9
03:02:08,Mostly Cloudy,11,11,9
03:04:09,Mostly Cloudy,11,11,9
03:06:09,Mostly Cloudy,11,11,9
03:08:08,Mostly Cloudy,11,11,9
03:10:08,Mostly Cloudy,11,11,9
03:12:08,Mostly Cloudy,11,11,12
03:14:09,Mostly Cloudy,11,11,12
03:16:09,Mostly Cloudy,11,11,12
03:18:08,Mostly Cloudy,11,11,12
03:20:09,Mostly Cloudy,11,11,12
03:22:08,Mostly Cloudy,11,11,12
03:24:08,Mostly Cloudy,11,11,12
03:26:09,Mostly Cloudy,11,11,12
03:28:08,Mostly Cloudy,11,11,12
03:30:09,Mostly Cloudy,11,11,12
03:32:08,Mostly Cloudy,11,11,12
03:34:09,Mostly Cloudy,11,11,12
03:36:09,Mostly Cloudy,11,11,12
