,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,10,11,0,7,3,13,4,7,1,10,33,10,18,28,9,9,16,26,5,20,8,14,9,18,19,4,19,27,27,16,2,27,2,1,1,4,15,32,2,30,3,16,7,16,40,39,0,13,12,10,6,3,26,16,1,10,27,5,3,0,7,18,39,1,24,7,18,30,1,17,18,7,18,5,17,20,8,39,18,30,25,27,3,5,1,12,5,5,18,22,27,18,3,40,2,7,9,0,5,2,8
00:02:09,10,11,0,7,4,13,4,7,1,10,33,9,18,29,9,9,16,26,5,20,8,14,9,18,19,4,19,26,27,16,2,27,2,1,1,4,15,32,2,30,3,16,7,16,40,39,0,12,12,10,7,3,26,16,1,10,27,5,3,0,7,18,39,1,24,7,18,30,1,17,18,7,18,5,17,20,8,39,18,30,25,27,3,5,1,12,6,5,18,22,27,17,3,40,2,7,9,0,5,2,8
00:04:09,10,11,0,7,4,13,4,7,1,10,33,9,18,29,9,9,16,26,5,20,8,14,9,18,19,4,19,26,27,16,2,27,2,1,1,4,15,32,2,30,3,16,7,16,40,39,0,12,12,10,7,3,26,16,1,10,27,5,3,0,7,18,39,1,24,7,18,30,1,17,18,7,18,5,17,20,8,39,18,30,25,27,3,5,1,12,6,5,18,22,27,17,3,40,2,7,9,0,5,2,8
00:06:08,10,11,0,7,4,13,4,7,1,10,33,8,18,29,9,8,16,26,5,20,8,14,9,18,19,4,19,26,29,16,2,27,2,1,1,4,15,32,2,30,3,16,7,16,40,39,0,12,12,10,7,3,26,16,1,10,27,5,3,0,7,18,38,3,24,7,17,30,1,18,18,7,18,5,16,19,8,39,18,30,26,29,3,6,1,12,6,5,18,21,27,17,3,40,2,8,9,0,5,2,8
00:08:09,10,11,0,7,4,13,4,7,1,10,33,8,18,29,9,8,16,26,5,20,8,14,9,18,19,4,19,26,29,16,2,27,2,1,1,4,15,32,2,28,3,16,7,15,40,39,0,12,12,10,7,3,26,16,1,10,27,5,3,0,7,18,38,3,24,7,17,30,1,19,18,7,18,5,16,19,8,39,18,30,26,29,3,6,1,12,7,5,18,21,27,17,3,40,2,8,8,0,5,2,8
00:10:08,10,11,0,7,4,13,4,7,1,10,33,8,18,29,9,8,16,26,5,20,8,14,9,18,19,4,19,26,29,16,2,27,2,1,1,4,15,32,2,28,3,16,7,15,40,39,0,12,12,10,7,3,26,16,1,10,27,5,3,0,7,18,38,3,24,7,17,30,1,19,18,7,18,5,16,19,8,39,18,30,26,29,3,6,1,12,7,5,18,21,27,17,3,40,2,8,8,0,5,2,8
00:12:09,10,11,0,7,4,13,4,7,1,10,33,8,18,29,9,8,17,26,4,20,8,13,9,19,19,4,19,26,29,16,2,27,2,1,1,4,15,32,2,28,3,16,7,15,40,37,0,12,12,10,7,3,26,16,1,10,27,5,3,0,7,18,39,4,24,7,17,30,1,19,18,7,18,5,16,19,8,39,18,30,26,29,3,6,1,12,7,5,18,21,27,17,3,40,2,8,8,0,5,2,8
00:14:09,10,11,0,7,4,13,4,7,1,9,33,8,18,29,9,8,17,27,4,20,8,13,9,19,18,4,19,26,29,16,2,27,2,1,1,4,14,31,2,29,3,16,7,15,40,38,0,11,12,10,7,3,26,15,1,10,27,5,3,0,7,19,39,4,24,7,17,30,1,19,18,7,15,5,16,19,8,38,18,30,26,29,3,6,1,12,8,5,18,21,27,17,3,40,2,8,8,0,5,2,8
00:16:09,10,11,0,7,4,13,4,7,1,9,33,8,18,29,9,8,17,27,4,20,8,13,9,19,18,4,19,26,29,16,2,27,2,1,1,4,14,31,2,29,3,16,7,15,40,38,0,11,12,10,7,3,26,15,1,10,27,5,3,0,7,19,39,4,24,7,17,30,1,19,18,7,15,5,16,19,8,38,18,30,26,29,3,6,1,12,8,5,18,21,27,17,3,40,2,8,8,0,5,2,8
00:18:08,10,11,0,7,4,13,4,7,1,10,33,8,18,29,9,8,17,27,4,20,9,13,9,19,20,4,19,25,29,16,2,27,2,1,1,4,12,31,2,29,3,16,7,15,39,39,0,11,10,10,7,3,26,15,1,10,25,5,3,0,7,19,39,4,24,7,17,30,1,19,18,7,14,5,16,19,8,39,18,30,26,29,2,6,1,12,8,5,18,21,27,17,3,40,2,8,8,0,5,2,8
