,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:09,0,2,9,24,28,6,25,4,29,35,36,0,23,29,4,1,12,29,6,10,9,9,14,30,30,2,3,15,15,12,3,30,5,8,9,8,20,16,4,21,1,12,0,0,19,36,12,15,14,5,16,0,39,29,13,2,18,2,0,2,3,6,33,8,6,24,8,14,29,21,13,1,13,3,17,39,1,12,13,5,30,1,14,19,13,26,14,22,20,2,23,18,14,40,21,2,21,2,7,0,0
00:02:09,0,2,9,24,28,7,25,4,29,35,37,0,23,29,4,1,12,29,7,10,9,9,14,30,30,2,3,14,15,12,3,30,5,8,9,8,20,14,4,20,1,12,0,0,19,36,12,15,14,5,16,0,39,29,11,2,18,2,0,0,3,6,33,8,6,24,8,14,30,21,13,1,13,3,17,39,0,12,14,5,30,1,14,19,13,26,14,22,20,2,23,19,14,40,21,2,21,2,7,0,0
00:04:08,0,2,9,24,28,7,25,4,29,35,37,0,23,29,4,1,12,29,7,10,9,9,14,30,30,2,3,14,15,12,3,30,5,8,9,8,20,14,4,20,1,12,0,0,19,36,12,15,14,5,16,0,39,29,11,2,18,2,0,0,3,6,33,8,6,24,8,14,30,21,13,1,13,3,17,39,0,12,14,5,30,1,14,19,13,26,14,22,20,2,23,19,14,40,21,2,21,2,7,0,0
00:06:09,0,2,9,24,28,7,25,4,29,35,37,0,23,29,4,1,12,30,7,9,9,9,14,30,30,3,3,14,15,12,3,30,4,8,9,10,19,14,4,18,2,12,0,0,19,36,12,15,14,5,16,1,39,29,11,2,17,2,0,0,4,6,33,9,6,24,8,14,30,20,15,1,12,3,17,39,0,14,14,5,30,2,14,18,13,26,14,22,20,2,23,19,14,39,21,2,20,2,7,0,0
00:08:09,0,2,9,24,28,7,25,4,29,36,37,0,23,29,4,1,14,30,7,9,10,9,14,30,30,3,1,14,15,12,3,30,4,8,9,10,20,14,4,18,2,12,0,0,19,36,11,15,14,5,15,1,39,29,11,2,17,2,0,0,4,6,33,9,6,24,8,14,30,20,15,1,12,3,17,39,0,14,15,4,30,2,14,19,13,26,14,22,20,2,23,19,14,39,21,1,19,2,7,0,0
00:10:09,0,2,9,24,28,7,25,4,29,36,37,0,23,29,4,1,14,30,7,9,10,9,14,30,30,3,1,14,15,12,3,30,4,8,9,10,20,14,4,18,2,12,0,0,19,36,11,15,14,5,15,1,39,29,11,2,17,2,0,0,4,6,33,9,6,24,8,14,30,20,15,1,12,3,17,39,0,14,15,4,30,2,14,19,13,26,14,22,20,2,23,19,14,39,21,1,19,2,7,0,0
00:12:08,0,2,9,24,27,7,26,4,29,37,37,0,23,30,4,1,15,30,7,9,10,9,14,30,30,3,2,14,15,11,3,30,4,8,8,10,20,14,4,18,2,12,0,1,19,36,11,15,14,4,15,1,39,28,12,2,17,2,0,0,4,6,32,9,6,24,8,14,30,20,15,1,10,3,17,38,0,14,16,4,30,3,14,20,13,26,15,22,20,2,23,20,14,39,21,1,18,2,7,0,0
00:14:09,0,2,9,24,27,7,26,4,29,37,37,0,23,30,4,1,15,30,7,9,10,9,14,30,30,3,2,14,15,11,3,30,4,8,8,10,20,14,4,18,2,12,0,1,19,36,11,15,14,4,15,1,39,28,12,2,17,2,0,0,4,6,32,9,6,24,8,14,30,20,15,1,10,3,17,38,0,14,16,4,30,3,14,20,13,26,15,22,20,2,23,20,14,39,21,1,18,2,7,0,0
00:16:09,0,2,9,24,28,9,26,4,29,38,37,0,23,30,4,1,16,30,7,9,10,9,14,30,30,3,2,13,15,11,3,30,3,8,8,10,20,14,4,18,2,12,0,1,19,36,11,15,13,4,15,1,39,29,12,2,18,2,0,0,4,6,32,9,6,24,7,14,30,19,15,1,9,2,17,38,0,14,16,4,30,3,14,20,13,26,16,22,20,2,23,20,14,39,21,1,18,2,9,0,0
00:18:08,0,2,9,24,28,9,27,4,29,36,37,0,23,29,4,1,16,30,7,7,10,9,14,30,29,3,2,13,18,11,3,30,3,8,8,10,19,13,4,15,1,12,0,1,18,36,11,15,13,4,14,1,39,30,12,2,18,2,0,0,4,6,32,9,6,24,7,13,30,19,15,1,8,2,17,38,0,14,16,4,30,3,15,20,13,26,16,22,20,2,23,20,14,39,21,0,15,2,9,0,0
