,FENIAN_STREET,CITY_QUAY,FITZWILLIAM_SQUARE_EAST,BROOKFIELD_ROAD,EMMET_ROAD,ROTHE_ABBEY,KING_STREET_NORTH,GREEK_STREET,WESTERN_WAY,CHARLEMONT_PLACE,PARKGATE_STREET,HIGH_STREET,HEUSTON_BRIDGE_(SOUTH),PORTOBELLO_HARBOUR,ECCLES_STREET_EAST,MERRION_SQUARE_EAST,SMITHFIELD,PORTOBELLO_ROAD,CUSTOM_HOUSE_QUAY,MERRION_SQUARE_WEST,HARDWICKE_PLACE,ST._STEPHEN'S_GREEN_EAST,MOLESWORTH_STREET,UPPER_SHERRARD_STREET,MOUNTJOY_SQUARE_WEST,LIME_STREET,EXCHEQUER_STREET,ORMOND_QUAY_UPPER,NEW_CENTRAL_BANK,DAME_STREET,PARNELL_SQUARE_NORTH,DEVERELL_PLACE,EARLSFORT_TERRACE,BOLTON_STREET,JAMES_STREET_EAST,ECCLES_STREET,CATHAL_BRUGHA_STREET,STRAND_STREET_GREAT,FITZWILLIAM_SQUARE_WEST,FOWNES_STREET_UPPER,HERBERT_STREET,PARNELL_STREET,ST._STEPHEN'S_GREEN_SOUTH,PEARSE_STREET,EXCISE_WALK,TALBOT_STREET,CUSTOM_HOUSE,GEORGES_QUAY,LEINSTER_STREET_SOUTH,WILTON_TERRACE,TOWNSEND_STREET,JERVIS_STREET,HEUSTON_STATION_(CENTRAL),SMITHFIELD_NORTH,KEVIN_STREET,NEWMAN_HOUSE,SANDWITH_STREET,MOUNT_STREET_LOWER,HANOVER_QUAY,CHRISTCHURCH_PLACE,SIR_PATRICK_DUN'S,GUILD_STREET,YORK_STREET_WEST,HARCOURT_TERRACE,YORK_STREET_EAST,ST_JAMES_HOSPITAL_(LUAS),CLONMEL_STREET,JOHN_STREET_WEST,JAMES_STREET,MARKET_STREET_SOUTH,MATER_HOSPITAL,CONVENTION_CENTRE,PRINCES_STREET_/_O'CONNELL_STREET,WOLFE_TONE_STREET,OLIVER_BOND_STREET,BARROW_STREET,HERBERT_PLACE,GRAND_CANAL_DOCK,DENMARK_STREET_GREAT,FRANCIS_STREET,NORTH_CIRCULAR_ROAD,THE_POINT,KILMAINHAM_LANE,BLESSINGTON_STREET,ROYAL_HOSPITAL,COLLINS_BARRACKS_MUSEUM,BLACKHALL_PLACE,KILMAINHAM_GAOL,HEUSTON_STATION_(CAR_PARK),BENSON_STREET,FREDERICK_STREET_SOUTH,SOUTH_DOCK_ROAD,ST._JAMES_HOSPITAL_(CENTRAL),HEUSTON_BRIDGE_(NORTH),MOUNT_BROWN,CHATHAM_STREET,GRANTHAM_STREET,GRATTAN_STREET,HARDWICKE_STREET,HATCH_STREET,GOLDEN_LANE
00:00:08,2,16,4,30,32,32,24,8,24,27,27,16,23,18,9,8,24,27,10,6,6,6,1,29,21,4,0,1,35,0,4,28,0,2,8,20,16,2,1,5,7,4,0,14,22,32,11,3,5,20,14,0,37,21,1,0,13,14,4,0,4,32,0,12,0,15,0,15,24,26,31,5,4,1,30,39,17,18,7,26,13,25,16,15,26,37,30,20,3,1,6,23,13,39,20,0,9,2,7,0,0
00:02:08,2,16,4,30,32,32,24,9,24,27,27,16,23,18,9,8,24,27,10,6,6,6,1,29,21,4,0,1,35,0,4,28,0,2,8,20,16,2,1,5,7,4,0,14,22,35,11,3,5,20,14,0,37,21,1,0,13,14,4,0,4,32,0,12,0,15,0,15,24,26,31,5,3,1,30,39,17,18,7,26,13,24,16,15,26,37,30,20,3,1,6,23,13,39,20,0,9,3,7,0,0
00:04:09,2,16,4,30,32,32,24,9,24,27,27,16,23,18,9,8,24,27,10,6,6,6,1,29,21,4,0,1,35,0,4,28,0,2,8,20,16,2,1,5,7,4,0,14,22,35,11,3,5,20,14,0,37,21,1,0,13,14,4,0,4,32,0,12,0,15,0,15,24,26,31,5,3,1,30,39,17,18,7,26,13,24,16,15,26,37,30,20,3,1,6,23,13,39,20,0,9,3,7,0,0
00:06:09,2,16,4,30,32,32,24,9,24,27,27,16,23,18,9,8,24,27,10,6,6,6,1,29,21,4,0,1,35,0,3,28,0,2,8,20,16,2,1,4,7,4,0,14,22,35,11,3,5,20,14,0,37,20,1,0,13,14,4,0,4,32,0,12,0,15,0,15,24,26,31,5,3,1,30,39,17,18,7,26,13,24,16,15,26,37,30,20,3,1,6,22,13,39,20,0,9,3,7,0,0
00:08:08,2,16,4,30,32,32,25,9,24,27,27,16,23,18,9,8,24,27,10,6,5,6,1,30,21,4,0,1,35,0,3,28,0,2,8,20,16,2,1,3,7,4,0,13,22,34,11,3,5,20,13,0,37,20,1,0,13,14,4,0,4,32,0,12,0,15,0,15,25,26,31,5,3,1,30,39,17,18,7,26,13,25,16,15,26,37,30,20,3,1,6,22,13,39,20,0,9,3,7,0,0
00:10:08,2,16,4,30,32,32,25,9,24,27,27,16,23,18,9,8,24,27,10,6,5,6,1,30,21,4,0,1,35,0,3,28,0,2,8,20,16,2,1,3,7,4,0,13,22,34,11,3,5,20,13,0,37,20,1,0,13,14,4,0,4,32,0,12,0,15,0,15,25,26,31,5,3,1,30,39,17,18,7,26,13,25,16,15,26,37,30,20,3,1,6,22,13,39,20,0,9,3,7,0,0
00:12:09,2,16,4,30,32,32,25,9,24,27,28,16,23,18,9,8,24,27,10,6,5,6,1,30,22,4,0,1,35,0,3,28,0,2,8,20,16,2,1,2,7,4,0,13,22,34,11,3,5,20,13,0,37,20,1,0,13,14,4,0,4,32,0,12,0,15,0,15,25,26,31,5,3,1,30,39,17,18,7,26,12,25,16,15,26,37,30,20,3,1,6,22,13,39,20,0,9,3,7,0,0
00:14:09,2,16,4,30,32,32,25,9,24,27,28,15,23,18,9,8,24,27,10,6,5,6,1,30,22,4,0,1,35,0,3,28,0,1,8,19,16,2,1,2,7,5,0,13,22,34,11,3,5,20,13,0,37,20,1,0,13,14,4,0,4,33,0,12,0,15,0,15,25,26,31,5,3,1,30,39,17,18,7,26,12,26,16,15,26,37,30,20,3,1,6,23,13,39,20,0,9,3,7,0,0
00:16:09,2,16,4,30,32,32,25,9,24,27,28,15,23,18,9,8,24,27,10,6,5,6,1,30,22,4,0,1,35,0,3,28,0,1,8,19,16,2,1,2,7,5,0,13,22,34,11,3,5,20,13,0,37,20,1,0,13,14,4,0,4,33,0,12,0,15,0,15,25,26,31,5,3,1,30,39,17,18,7,26,12,26,16,15,26,37,30,20,3,1,6,23,13,39,20,0,9,3,7,0,0
00:18:08,2,16,4,30,32,32,25,9,25,27,28,15,23,17,9,8,24,27,10,6,5,6,1,30,23,3,0,1,35,0,2,28,0,1,8,19,16,2,1,2,7,5,0,13,22,34,11,3,5,20,13,0,37,20,1,0,13,15,4,0,4,33,0,12,0,15,0,15,25,26,31,5,3,1,30,39,17,18,7,26,12,26,16,15,26,37,30,21,3,1,6,23,13,39,20,0,9,3,7,0,0
